nct_id,pmid
NCT00206310,20883926
NCT01695239,30696483
NCT00089791,21411557
NCT00043784,17010793
NCT00139386,14661009
NCT00321737,19210298
NCT01474369,28119763
NCT00092768,18514551
NCT01292473,23432142
NCT01009086,23769296
NCT01646320,26246458
NCT00000542,28430947
NCT01709110,30659410
NCT00783237,16278257
NCT01316900,27796912
NCT00036439,16339095
NCT00144339,20185426
NCT01225562,26491109
NCT00464269,27335114
NCT00231738,18451347
NCT00091949,30734043
NCT00100620,19362675
NCT01882439,29045207
NCT01081834,28197834
NCT00387088,20620037
NCT00698646,22311004
