pmid,page,tabletype,tabletype_details,tid
19850249,1,TableTidier,result_table_subgroup,832
19850249,2,TableTidier,result_table_subgroup,987
15753114,2,TableTidier,result_table_subgroup,1169
16116047,3,TableTidier,result_table_subgroup,1000
16351668,2,TableTidier,result_table_subgroup,1789
17011942,2,TableTidier,result_table_subgroup,1519
18326958,2,TableTidier,result_table_subgroup,240
18835953,2,TableTidier,result_table_subgroup,856
20678674,2,TableTidier,result_table_subgroup,1755
23992601,3,TableTidier,result_table_subgroup,193
29228101,2,TableTidier,result_table_subgroup,156
20484828,1,TableTidier,result_table_subgroup,1263
27616196,2,TableTidier,result_table_subgroup,532
27616196,4,TableTidier,result_table_subgroup,1635
27616196,5,TableTidier,result_table_subgroup,396
28278391,2,TableTidier,result_table_subgroup,288
28385353,5,TableTidier,result_table_subgroup,93
29782217,2,TableTidier,result_table_subgroup,424
29782217,3,TableTidier,result_table_subgroup,78
28818881,2,TableTidier,result_table_subgroup,1148
28118533,2,TableTidier,result_table_subgroup,1854
17097378,2,TableTidier,result_table_subgroup,831
26547918,2,TableTidier,result_table_subgroup,197
27576559,2,TableTidier,result_table_subgroup,1005
15537681,2,TableTidier,result_table_subgroup,562
15381674,2,TableTidier,result_table_subgroup,11
15851647,2,TableTidier,result_table_subgroup,1618
15851647,3,TableTidier,result_table_subgroup,1473
15924587,2,TableTidier,result_table_subgroup,417
16533938,2,TableTidier,result_table_subgroup,1544
16651474,1,TableTidier,result_table_subgroup,170
17058629,2,TableTidier,result_table_subgroup,521
18498915,3,TableTidier,result_table_subgroup,1537
18537526,2,TableTidier,result_table_subgroup,1509
19104004,3,TableTidier,result_table_subgroup,1326
19166691,2,TableTidier,result_table_subgroup,366
19349325,2,TableTidier,result_table_subgroup,1675
20136164,1,result_table_without_subgroup,result_table_without_subgroup,1119
20136164,2,result_table_without_subgroup,result_table_without_subgroup,797
20136164,3,result_table_without_subgroup,result_table_without_subgroup,1514
20136164,4,result_table_without_subgroup,result_table_without_subgroup,1663
20136164,5,result_table_without_subgroup,result_table_without_subgroup,360
20151997,2,TableTidier,result_table_subgroup,524
20953684,2,TableTidier,result_table_subgroup,1676
21060071,2,TableTidier,result_table_subgroup,1219
21174145,2,result_table_without_subgroup,result_table_without_subgroup,1805
22235820,3,TableTidier,result_table_subgroup,659
22305835,2,TableTidier,result_table_subgroup,1187
22369287,2,TableTidier,result_table_subgroup,311
22396585,2,TableTidier,result_table_subgroup,1678
22913891,4,TableTidier,result_table_subgroup,1139
22913891,6,TableTidier,result_table_subgroup,1195
22913893,2,TableTidier,result_table_subgroup,1610
23726159,2,TableTidier,result_table_subgroup,1714
24898834,2,TableTidier,result_table_subgroup,406
24898834,3,TableTidier,result_table_subgroup,1449
25002161,2,TableTidier,result_table_subgroup,1806
25031188,2,TableTidier,result_table_subgroup,1237
25670362,2,TableTidier,result_table_subgroup,1591
25670362,3,TableTidier,result_table_subgroup,369
25681464,2,TableTidier,result_table_subgroup,935
25792124,2,TableTidier,result_table_subgroup,661
26523993,2,TableTidier,result_table_subgroup,726
26523993,3,TableTidier,result_table_subgroup,1212
26580237,2,TableTidier,result_table_subgroup,13
26754626,2,TableTidier,result_table_subgroup,305
26754626,3,TableTidier,result_table_subgroup,1572
27033025,2,TableTidier,result_table_subgroup,434
27252787,2,TableTidier,result_table_subgroup,123
27484756,2,TableTidier,result_table_subgroup,1478
27619750,2,result_table_without_subgroup,result_table_without_subgroup,1394
28189475,2,TableTidier,result_table_subgroup,1072
28300867,2,TableTidier,result_table_subgroup,1716
28386990,2,TableTidier,result_table_subgroup,1434
28432746,2,TableTidier,result_table_subgroup,1229
28844508,2,TableTidier,result_table_subgroup,1205
28844508,3,TableTidier,result_table_subgroup,1399
28905478,2,TableTidier,result_table_subgroup,1705
28948656,2,TableTidier,result_table_subgroup,983
29103664,2,TableTidier,result_table_subgroup,992
29145215,2,TableTidier,result_table_subgroup,1331
29145215,3,TableTidier,result_table_subgroup,173
29146124,2,TableTidier,result_table_subgroup,847
29263150,3,TableTidier,result_table_subgroup,1461
29544870,2,TableTidier,result_table_subgroup,1053
29544870,3,TableTidier,result_table_subgroup,885
29661699,2,TableTidier,result_table_subgroup,1614
30146931,2,TableTidier,result_table_subgroup,1792
30146931,3,TableTidier,result_table_subgroup,820
30146932,2,TableTidier,result_table_subgroup,1666
30183102,2,TableTidier,result_table_subgroup,201
30218434,1,result_table_without_subgroup,result_table_without_subgroup,652
30302940,4,TableTidier,result_table_subgroup,508
30415628,1,TableTidier,result_table_subgroup,1047
30425095,2,TableTidier,result_table_subgroup,234
30830724,2,TableTidier,result_table_subgroup,982
30851070,3,TableTidier,result_table_subgroup,277
30936738,2,TableTidier,result_table_subgroup,669
30936738,3,TableTidier,result_table_subgroup,702
30936738,4,TableTidier,result_table_subgroup,1511
30936738,5,TableTidier,result_table_subgroup,630
19447387,2,TableTidier,result_table_subgroup,1687
19447387,3,TableTidier,result_table_subgroup,590
21428766,2,TableTidier,result_table_subgroup,800
19097665,3,result_table_without_subgroup,result_table_without_subgroup,1827
18000186,2,TableTidier,result_table_subgroup,1711
18227370,2,TableTidier,result_table_subgroup,1356
18227370,3,TableTidier,result_table_subgroup,663
18227370,4,TableTidier,result_table_subgroup,1633
18227370,5,TableTidier,result_table_subgroup,1379
